symbol,settlement,last,change,open,high,low,previous_close,turnover,volume,operations,datetime
PN4CO,48hs,,,,,,9534.5,,,,
PNCEO,spot,,,,,,7178.5,,,,
PNCEO,24hs,,,,,,7337.0,,,,
PNCEO,48hs,9200.0,-1.07,9200.0,9200.0,9200.0,9300.0,11040.0,120.0,1.0,2021-08-31 12:12:00
PNDCD,spot,,,,,,119.75,,,,
PNDCD,24hs,,,,,,119.0,,,,
PNDCD,48hs,,,,,,118.5,,,,
PNDCO,spot,,,,,,20570.0,,,,
PNDCO,24hs,,,,,,16650.0,,,,
PNDCO,48hs,20500.0,,20500.0,20500.0,20500.0,20500.0,4510000.0,22000.0,2.0,2021-08-31 15:21:45
PNECO,spot,,,,,,,,,,
PNECO,24hs,,,,,,,,,,
PNECO,48hs,,,,,,9980.0,,,,
PQC5O,spot,,,,,,6854.465,,,,
PQC5O,24hs,,,,,,7681.333,,,,
PQC5O,48hs,,,,,,9700.0,,,,
PQCAO,spot,,,,,,,,,,
PQCAO,24hs,,,,,,10100.0,,,,
PQCAO,48hs,,,,,,9965.0,,,,
PQCDD,spot,105.75,2.62,105.75,105.75,105.75,103.05,529.0,500.0,1.0,2021-08-31 15:45:52
PQCDD,48hs,105.5,-0.23,106.0,106.0,105.5,105.75,3288.0,3115.0,8.0,2021-08-31 16:19:34
PQCDO,spot,,,,,,17700.0,,,,
PQCDO,48hs,18050.0,0.27,18200.0,18200.0,17999.0,18000.0,146172.0,809.0,4.0,2021-08-31 14:38:18
PQCEC,48hs,,,,,,55.8,,,,
PTSTC,spot,,,,,,100.5,,,,
PTSTC,24hs,,,,,,97.75,,,,
PTSTC,48hs,,,,,,98.4,,,,
PTSTD,spot,105.0,1.94,105.0,105.0,105.0,103.0,1050.0,1000.0,1.0,2021-08-31 14:51:43
PTSTD,24hs,,,,,,103.5,,,,
PTSTD,48hs,107.5,1.41,105.9,107.5,105.0,106.0,18003.0,17000.0,9.0,2021-08-31 15:04:36
PTSTO,spot,,,,,,17742.0,,,,
PTSTO,24hs,,,,,,17820.0,,,,
PTSTO,48hs,17900.0,0.56,17800.0,17900.0,17750.0,17800.0,8922000.0,50000.0,19.0,2021-08-31 16:16:43
RA31D,spot,,,,,,98.3,,,,
RA31D,24hs,,,,,,97.1,,,,
RA31D,48hs,,,,,,96.0,,,,
RA31O,spot,16416.0,,16416.0,16416.0,16416.0,16416.0,2486203.0,15145.0,3.0,2021-08-31 14:15:38
RA31O,24hs,,,,,,16099.0,,,,
RA31O,48hs,,,,,,17204.0,,,,
RAC4D,spot,,,,,,100.7,,,,
RAC4D,24hs,,,,,,90.0,,,,
RAC4D,48hs,,,,,,101.0,,,,
RAC4O,spot,,,,,,16416.0,,,,
RAC4O,24hs,,,,,,17400.0,,,,
RAC4O,48hs,,,,,,17500.0,,,,
RCC9C,spot,,,,,,99.5,,,,
RCC9C,24hs,,,,,,94.22,,,,
RCC9C,48hs,,,,,,100.5,,,,
RCC9D,spot,105.9,1.58,105.9,105.9,105.9,104.25,14826.0,14000.0,1.0,2021-08-31 11:36:20
RCC9D,24hs,,,,,,107.95,,,,
RCC9D,48hs,105.0,,105.0,105.0,105.0,105.0,13650.0,13000.0,1.0,2021-08-31 12:05:58
RCC9O,spot,18003.0,0.01,18003.0,18003.0,18003.0,18000.0,2520420.0,14000.0,1.0,2021-08-31 11:37:08
RCC9O,24hs,,,,,,17900.0,,,,
RCC9O,48hs,17925.0,-0.13,17980.0,17980.0,17800.0,17950.0,15186350.0,85000.0,12.0,2021-08-31 16:01:04
RFCAC,spot,100.0,,100.0,100.0,100.0,100.0,11906.0,11906.0,6.0,2021-08-31 15:34:27
RFCAC,24hs,,,,,,100.0,,,,
RFCAC,48hs,,,,,,100.0,,,,
RFCAD,spot,103.0,0.98,102.0,103.0,102.0,102.0,238446.0,231944.0,4.0,2021-08-31 15:01:22
RFCAD,24hs,,,,,,104.0,,,,
RFCAD,48hs,,,,,,,,,,
RFCAO,spot,17460.0,-1.73,17315.0,17735.0,17315.0,17768.5,13757871.0,78625.0,12.0,2021-08-31 15:34:43
RFCAO,24hs,,,,,,17422.0,,,,
RFCAO,48hs,,,,,,17420.0,,,,
RPC2D,spot,105.45,,105.45,105.45,105.45,105.45,1055.0,1000.0,1.0,2021-08-31 14:08:05
RPC2D,24hs,,,,,,106.0,,,,
RPC2D,48hs,105.05,0.52,105.5,106.0,105.0,104.5,25810.0,24500.0,22.0,2021-08-31 16:12:32
RPC2O,spot,,,,,,17700.0,,,,
RPC2O,24hs,,,,,,17510.0,,,,
RPC2O,48hs,17875.0,0.42,17560.5,18000.0,17560.5,17800.0,6449293.0,36000.0,30.0,2021-08-31 16:15:49
RZS3O,spot,,,,,,9136.723,,,,
RZS3O,24hs,,,,,,,,,,
RZS3O,48hs,,,,,,9430.0,,,,
SN5AO,spot,,,,,,9171.0,,,,
SN5AO,24hs,,,,,,8766.0,,,,
SN5AO,48hs,,,,,,9700.0,,,,
SNS4D,spot,,,,,,57.07,,,,
SNS4D,24hs,,,,,,58.0,,,,
SNS4D,48hs,,,,,,57.15,,,,
SNS4O,spot,9802.0,0.06,9802.0,9802.0,9802.0,9796.0,49598.0,506.0,1.0,2021-08-31 14:20:52
SNS4O,24hs,,,,,,9651.0,,,,
SNS4O,48hs,9650.0,-0.1,9650.0,9650.0,9650.0,9660.0,772.0,8.0,1.0,2021-08-31 11:45:24
STC5C,spot,,,,,,,,,,
STC5C,24hs,,,,,,,,,,
STC5C,48hs,,,,,,,,,,
STC5D,spot,,,,,,,,,,
STC5D,24hs,,,,,,,,,,
STC5D,48hs,,,,,,,,,,
STC5O,spot,,,,,,,,,,
STC5O,24hs,,,,,,,,,,
STC5O,48hs,,,,,,,,,,
SV6MO,spot,,,,,,,,,,
SV6MO,24hs,,,,,,,,,,
SV6MO,48hs,,,,,,7600.0,,,,
T491O,spot,,,,,,,,,,
T491O,24hs,,,,,,101.05,,,,
T491O,48hs,,,,,,101.5,,,,
TLC1D,spot,,,,,,104.0,,,,
TLC1D,24hs,,,,,,102.0,,,,
TLC1D,48hs,,,,,,103.5,,,,
TLC1O,spot,,,,,,17087.12,,,,
TLC1O,48hs,,,,,,17500.0,,,,
TLC5D,spot,,,,,,102.85,,,,
TLC5D,24hs,,,,,,105.0,,,,
TLC5D,48hs,105.0,,105.0,105.0,105.0,105.0,2100.0,2000.0,1.0,2021-08-31 11:44:44
TLC5O,spot,,,,,,17700.0,,,,
TLC5O,24hs,,,,,,17759.5,,,,
TLC5O,48hs,17900.0,,17900.0,17900.0,17900.0,17900.0,2148000.0,12000.0,1.0,2021-08-31 12:30:08
TLC7O,spot,,,,,,6624.841,,,,
TLC7O,24hs,,,,,,8688.0,,,,
TLC7O,48hs,,,,,,8620.0,,,,
TN45O,spot,,,,,,96.845,,,,
TN45O,24hs,,,,,,,,,,
TN45O,48hs,,,,,,107.0,,,,
TN47D,spot,,,,,,97.533,,,,
TN47D,24hs,,,,,,97.283,,,,
TN47D,48hs,,,,,,100.0,,,,
TSS2C,spot,,,,,,,,,,
TSS2C,24hs,,,,,,,,,,
TSS2C,48hs,,,,,,,,,,
TSS2D,spot,,,,,,,,,,
TSS2D,24hs,,,,,,,,,,
TSS2D,48hs,,,,,,,,,,
TSS2P,spot,,,,,,,,,,
TSS2P,24hs,,,,,,,,,,
TSS2P,48hs,,,,,,,,,,
TTC1C,spot,,,,,,100.1,,,,
TTC1C,24hs,,,,,,100.0,,,,
TTC1C,48hs,,,,,,101.5,,,,
TTC1D,spot,,,,,,104.45,,,,
TTC1D,24hs,,,,,,101.0,,,,
TTC1D,48hs,,,,,,103.0,,,,
TTC1O,spot,17700.0,,17700.0,17700.0,17700.0,17700.0,354000.0,2000.0,2.0,2021-08-31 12:04:24
TTC1O,24hs,,,,,,17730.0,,,,
TTC1O,48hs,17900.0,0.84,17800.0,17900.0,17800.0,17750.0,3386500.0,19000.0,3.0,2021-08-31 15:19:14
TTC4D,spot,,,,,,100.242,,,,
TTC4D,24hs,,,,,,96.992,,,,
TTC4D,48hs,,,,,,99.45,,,,
TTC4O,spot,,,,,,16850.0,,,,
TTC4O,24hs,,,,,,17237.0,,,,
TTC4O,48hs,,,,,,17000.0,,,,
VSC2C,spot,,,,,,102.5,,,,
VSC2C,24hs,,,,,,93.65,,,,
VSC2C,48hs,,,,,,101.06,,,,
VSC2D,spot,,,,,,104.0,,,,
VSC2D,24hs,,,,,,104.36,,,,
