symbol,settlement,last,change,open,high,low,previous_close,turnover,volume,operations,datetime
PARP,48hs,1015.0,-0.19,1025.0,1025.0,1010.0,1017.0,1541591.0,152196.0,36.0,2021-09-02 16:47:07
PBA25,spot,91.3,-0.27,90.51,91.7,90.51,91.55,359542.0,393000.0,19.0,2021-09-02 15:51:54
PBA25,24hs,,,,,,91.5,,,,
PBA25,48hs,91.5,,92.0,92.0,91.0,91.5,32858612.0,35937000.0,146.0,2021-09-02 16:49:34
PBY22,spot,99.0,2.06,97.2,99.0,97.0,97.0,265021.0,272000.0,12.0,2021-09-02 13:10:16
PBY22,24hs,,,,,,95.43,,,,
PBY22,48hs,97.1,-0.05,97.0,97.45,96.0,97.15,17333976.0,17854000.0,120.0,2021-09-02 16:49:15
PM29D,spot,,,,,,,,,,
PM29D,48hs,,,,,,78.0,,,,
PMM29,spot,,,,,,,,,,
PMM29,24hs,,,,,,,,,,
PMM29,48hs,13450.0,1.77,13425.0,13450.0,13425.0,13215.0,4437000.0,33000.0,20.0,2021-09-02 16:01:22
PR13,spot,733.0,1.59,733.0,733.0,733.0,721.5,3995.0,545.0,1.0,2021-09-02 13:03:20
PR13,24hs,,,,,,715.731,,,,
PR13,48hs,723.0,0.02,720.0,734.0,720.0,722.8,1337170.0,184680.0,31.0,2021-09-02 16:36:06
PR15,spot,73.12,0.09,72.87,73.28,72.5,73.05,3732010.0,5121006.0,17.0,2021-09-02 15:45:09
PR15,24hs,,,,,,72.95,,,,
PR15,48hs,73.7,0.75,73.15,73.7,73.0,73.15,6664451.0,9099745.0,54.0,2021-09-02 16:49:47
RN25C,spot,,,,,,61.5,,,,
RN25C,24hs,,,,,,62.0,,,,
RN25C,48hs,,,,,,86.108,,,,
RND25,spot,,,,,,10716.5,,,,
RND25,48hs,,,,,,10677.0,,,,
S205B,24hs,,,,,,110.0,,,,
S205B,48hs,,,,,,,,,,
S205C,24hs,,,,,,110.0,,,,
S205C,48hs,,,,,,,,,,
S206B,spot,,,,,,,,,,
S206B,24hs,,,,,,105.75,,,,
S206B,48hs,,,,,,,,,,
SFA23,spot,,,,,,,,,,
SFA23,24hs,,,,,,79.0,,,,
SFA23,48hs,86.35,0.06,86.35,86.35,86.35,86.29,1307339.0,1514000.0,1.0,2021-09-02 13:47:06
T2V1,spot,9465.0,-0.09,9489.0,9489.0,9465.0,9474.0,1423725.0,15014.0,3.0,2021-09-02 14:34:03
T2V1,24hs,,,,,,9525.0,,,,
T2V1,48hs,9492.0,0.1,9520.0,9520.0,9487.0,9482.0,312145379.0,3287924.0,103.0,2021-09-02 16:32:57
T2V1D,spot,,,,,,55.12,,,,
T2V1D,24hs,,,,,,59.086,,,,
T2V1D,48hs,,,,,,54.23,,,,
T2V2,spot,10085.0,0.03,10085.0,10085.0,10085.0,10081.0,2460740.0,24400.0,1.0,2021-09-02 14:19:38
T2V2,24hs,,,,,,,,,,
T2V2,48hs,10100.0,,10100.0,10250.0,10085.0,10100.0,58531976.0,579373.0,14.0,2021-09-02 14:44:09
T2X2,spot,159.3,0.5,158.0,159.3,158.0,158.5,15993526.0,10040245.0,5.0,2021-09-02 15:44:34
T2X2,24hs,,,,,,152.9,,,,
T2X2,48hs,158.5,-0.15,159.95,159.95,158.0,158.75,1245352.0,783587.0,17.0,2021-09-02 16:51:55
T2X2D,spot,0.92,1.09,0.92,0.92,0.92,0.91,39801.0,4326190.0,1.0,2021-09-02 15:45:51
T2X2D,24hs,,,,,,0.94,,,,
T2X2D,48hs,,,,,,0.721,,,,
T2X3,spot,,,,,,142.75,,,,
T2X3,24hs,,,,,,,,,,
T2X3,48hs,,,,,,142.75,,,,
T2X4,spot,,,,,,,,,,
T2X4,24hs,,,,,,101.213,,,,
T2X4,48hs,,,,,,109.0,,,,
TB23P,spot,,,,,,,,,,
TB23P,24hs,,,,,,,,,,
TB23P,48hs,102.0,,102.0,102.0,102.0,102.0,102000.0,100000.0,2.0,2021-09-02 15:31:47
TB31C,48hs,,,,,,,,,,
TB31D,48hs,,,,,,,,,,
TB31P,48hs,,,,,,,,,,
TC23,spot,,,,,,400.0,,,,
TC23,24hs,,,,,,374.15,,,,
TC23,48hs,388.0,-0.56,393.0,395.0,388.0,390.214,512031.0,131843.0,12.0,2021-09-02 16:10:10
TC25P,spot,,,,,,351.0,,,,
TC25P,24hs,,,,,,278.613,,,,
TC25P,48hs,,,,,,357.0,,,,
TO21,spot,105.65,-0.04,106.1,106.1,105.55,105.7,1611286.0,1525152.0,6.0,2021-09-02 15:14:23
TO21,24hs,,,,,,101.6,,,,
TO21,48hs,105.95,0.23,106.0,106.1,105.8,105.7,273005008.0,257550781.0,42.0,2021-09-02 16:52:42
TO23,spot,,,,,,67.7,,,,
TO23,24hs,,,,,,67.0,,,,
TO23,48hs,67.6,-0.22,67.75,68.0,67.15,67.75,1064576.0,1571640.0,27.0,2021-09-02 16:47:29
TO26,spot,,,,,,47.0,,,,
TO26,24hs,,,,,,39.84,,,,
TO26,48hs,46.6,-0.42,47.0,47.0,46.25,46.8,4300282.0,9260671.0,47.0,2021-09-02 16:50:43
TT29A,spot,,,,,,,,,,
TT29A,24hs,,,,,,,,,,
TT29A,48hs,,,,,,,,,,
TT29B,spot,,,,,,,,,,
TT29B,24hs,,,,,,,,,,
TT29B,48hs,,,,,,,,,,
TV22,spot,9836.0,0.31,9934.0,9968.0,9830.0,9805.0,2124989.0,21616.0,6.0,2021-09-02 15:03:37
TV22,24hs,,,,,,9855.0,,,,
TV22,48hs,9844.0,0.29,9770.0,9900.0,9770.0,9815.0,216359187.0,2198997.0,115.0,2021-09-02 16:47:30
TVPA,spot,,,,,,72.5,,,,
TVPA,24hs,,,,,,58.2,,,,
TVPA,48hs,76.5,-0.58,76.0,76.5,76.0,76.95,143423.0,187500.0,7.0,2021-09-02 15:58:02
TVPE,spot,,,,,,135.0,,,,
TVPE,24hs,,,,,,152.0,,,,
TVPE,48hs,,,,,,179.5,,,,
TVPP,spot,1.63,,1.63,1.63,1.63,1.63,176.0,10800.0,4.0,2021-09-02 14:39:56
TVPP,24hs,,,,,,2.09,,,,
TVPP,48hs,1.64,0.61,1.63,1.64,1.6,1.63,35287.0,2200911.0,7.0,2021-09-02 16:25:50
TVPY,spot,,,,,,127.0,,,,
TVPY,24hs,,,,,,75.0,,,,
TVPY,48hs,,,,,,127.5,,,,
TVY0,spot,,,,,,135.0,,,,
TVY0,24hs,,,,,,167.0,,,,
TVY0,48hs,,,,,,135.0,,,,
TX22,spot,167.6,-0.02,166.75,169.2,166.75,167.65,7532994.0,4492411.0,45.0,2021-09-02 15:44:28
TX22,24hs,,,,,,167.65,,,,
TX22,48hs,167.75,0.11,167.75,169.4,167.75,167.55,421161544.0,250800697.0,168.0,2021-09-02 16:45:37
TX23,spot,161.15,0.12,160.9,161.5,160.9,160.95,35538265.0,22055300.0,5.0,2021-09-02 15:11:14
TX23,24hs,,,,,,161.25,,,,
TX23,48hs,161.4,-0.06,160.0,161.5,160.0,161.5,13729949.0,8503387.0,43.0,2021-09-02 16:51:02
