symbol,settlement,last,change,open,high,low,previous_close,turnover,volume,operations,datetime
PQCDD,48hs,103.5,-1.89,105.0,105.0,103.5,105.5,6076.0,5817.0,8.0,2021-09-01 14:02:25
PQCDO,spot,17800.0,0.56,17800.0,17800.0,17800.0,17700.0,17800.0,100.0,2.0,2021-09-01 13:34:54
PQCDO,48hs,17900.0,-0.83,17860.0,17950.0,17860.0,18050.0,1847695.0,10322.0,13.0,2021-09-01 16:17:57
PQCEC,48hs,,,,,,55.8,,,,
PTSTC,spot,,,,,,100.5,,,,
PTSTC,24hs,,,,,,97.75,,,,
PTSTC,48hs,,,,,,98.4,,,,
PTSTD,spot,,,,,,105.0,,,,
PTSTD,24hs,,,,,,103.5,,,,
PTSTD,48hs,107.5,,106.0,107.5,105.0,107.5,28640.0,27000.0,8.0,2021-09-01 14:17:00
PTSTO,spot,,,,,,17742.0,,,,
PTSTO,24hs,,,,,,17820.0,,,,
PTSTO,48hs,18050.0,0.83,18070.0,18070.0,18050.0,17900.0,2166200.0,12000.0,4.0,2021-09-01 16:47:32
RA31D,spot,,,,,,98.3,,,,
RA31D,24hs,,,,,,97.1,,,,
RA31D,48hs,,,,,,96.0,,,,
RA31O,spot,,,,,,16416.0,,,,
RA31O,24hs,,,,,,16099.0,,,,
RA31O,48hs,17100.0,-0.6,17100.0,17100.0,17100.0,17204.0,1750014.0,10234.0,1.0,2021-09-01 16:02:22
RAC4D,spot,,,,,,100.7,,,,
RAC4D,24hs,,,,,,90.0,,,,
RAC4D,48hs,,,,,,101.0,,,,
RAC4O,spot,,,,,,16416.0,,,,
RAC4O,24hs,,,,,,17400.0,,,,
RAC4O,48hs,,,,,,17500.0,,,,
RCC9C,spot,,,,,,99.5,,,,
RCC9C,24hs,,,,,,94.22,,,,
RCC9C,48hs,,,,,,100.5,,,,
RCC9D,spot,,,,,,105.9,,,,
RCC9D,24hs,,,,,,107.95,,,,
RCC9D,48hs,,,,,,105.0,,,,
RCC9O,spot,18000.0,-0.01,18000.0,18000.0,18000.0,18003.0,900000.0,5000.0,2.0,2021-09-01 12:15:08
RCC9O,24hs,,,,,,17900.0,,,,
RCC9O,48hs,17944.0,0.1,17950.0,17950.0,17920.0,17925.0,27630350.0,154000.0,15.0,2021-09-01 15:44:30
RFCAC,spot,100.0,,99.0,100.0,99.0,100.0,17644.0,17654.0,6.0,2021-09-01 15:32:50
RFCAC,24hs,,,,,,100.0,,,,
RFCAC,48hs,,,,,,100.0,,,,
RFCAD,spot,102.0,-0.97,102.0,102.0,102.0,103.0,86764.0,85063.0,11.0,2021-09-01 15:09:28
RFCAD,24hs,102.0,-1.92,102.0,102.0,102.0,104.0,8999.0,8823.0,1.0,2021-09-01 16:36:44
RFCAD,48hs,,,,,,,,,,
RFCAO,spot,17550.0,0.51,17500.0,17607.0,17410.5,17460.0,30218875.0,172502.0,20.0,2021-09-01 15:33:05
RFCAO,24hs,17480.5,0.33,17480.5,17480.5,17480.5,17422.0,1542305.0,8823.0,1.0,2021-09-01 16:37:17
RFCAO,48hs,,,,,,17420.0,,,,
RPC2D,spot,105.45,,105.45,105.45,105.45,105.45,527.0,500.0,1.0,2021-09-01 14:03:44
RPC2D,24hs,,,,,,106.0,,,,
RPC2D,48hs,105.1,0.04,106.0,106.5,105.1,105.05,41331.0,39000.0,20.0,2021-09-01 16:56:47
RPC2O,spot,,,,,,17700.0,,,,
RPC2O,24hs,18000.0,2.79,18000.0,18000.0,18000.0,17510.0,1620000.0,9000.0,1.0,2021-09-01 15:39:10
RPC2O,48hs,18050.0,0.97,18000.0,18050.0,17900.0,17875.0,3869750.0,21500.0,21.0,2021-09-01 15:40:16
RZS3O,spot,,,,,,9136.723,,,,
RZS3O,24hs,,,,,,,,,,
RZS3O,48hs,,,,,,9430.0,,,,
SN5AO,spot,,,,,,9171.0,,,,
SN5AO,24hs,,,,,,8766.0,,,,
SN5AO,48hs,,,,,,9700.0,,,,
SNS4O,spot,9859.0,0.58,9750.0,9859.0,9750.0,9802.0,2064475.0,20976.0,2.0,2021-09-01 15:32:20
SNS4O,24hs,,,,,,9651.0,,,,
SNS4O,48hs,9859.0,1.03,9800.0,9800.0,9800.0,9700.0,1700006.0,17347.0,1.0,2021-09-01 15:33:47
STC5C,spot,,,,,,,,,,
STC5C,24hs,,,,,,,,,,
STC5C,48hs,,,,,,,,,,
STC5D,spot,,,,,,,,,,
STC5D,24hs,,,,,,,,,,
STC5D,48hs,,,,,,,,,,
STC5O,spot,,,,,,,,,,
STC5O,24hs,,,,,,,,,,
STC5O,48hs,,,,,,,,,,
SV6MO,spot,,,,,,,,,,
SV6MO,24hs,,,,,,,,,,
SV6MO,48hs,,,,,,7600.0,,,,
T491O,spot,,,,,,,,,,
T491O,24hs,,,,,,101.05,,,,
T491O,48hs,,,,,,101.5,,,,
TBC2O,spot,,,,,,7875.5,,,,
TBC2O,24hs,,,,,,,,,,
TBC2O,48hs,,,,,,8645.0,,,,
TE21C,48hs,,,,,,,,,,
TE21D,48hs,,,,,,,,,,
TE21P,48hs,100.15,,100.15,100.15,100.15,,22033000.0,22000000.0,1.0,2021-09-01 12:15:06
TE22C,48hs,,,,,,,,,,
TE22D,48hs,,,,,,,,,,
TE22P,48hs,,,,,,,,,,
TLC1D,spot,,,,,,104.0,,,,
TLC1D,24hs,,,,,,102.0,,,,
TLC1D,48hs,,,,,,103.5,,,,
TLC1O,spot,,,,,,17087.12,,,,
TLC1O,48hs,,,,,,17500.0,,,,
TLC5D,spot,,,,,,102.85,,,,
TLC5D,24hs,,,,,,105.0,,,,
TLC5D,48hs,104.5,-0.47,105.0,105.0,104.5,105.0,8380.0,8000.0,5.0,2021-09-01 16:31:40
TLC5O,spot,,,,,,17700.0,,,,
TLC5O,24hs,,,,,,17759.5,,,,
TLC5O,48hs,17700.0,-1.66,18000.0,18000.0,17700.0,18000.0,16242900.0,91000.0,13.0,2021-09-01 16:23:22
TLC7O,spot,,,,,,6624.841,,,,
TLC7O,24hs,,,,,,8688.0,,,,
TLC7O,48hs,,,,,,8620.0,,,,
TN45O,spot,,,,,,96.845,,,,
TN45O,24hs,,,,,,,,,,
TN45O,48hs,,,,,,107.0,,,,
TN47D,spot,,,,,,97.533,,,,
TN47D,24hs,,,,,,97.283,,,,
TN47D,48hs,,,,,,100.0,,,,
TTC1C,spot,,,,,,100.1,,,,
TTC1C,24hs,,,,,,100.0,,,,
TTC1C,48hs,,,,,,101.5,,,,
TTC1D,spot,,,,,,104.45,,,,
TTC1D,24hs,,,,,,101.0,,,,
