symbol,settlement,last,change,open,high,low,previous_close,turnover,volume,operations,datetime
TVPE,24hs,,,,,,152.0,,,,
TVPE,48hs,,,,,,179.5,,,,
TVPP,spot,1.63,-1.21,1.63,1.63,1.63,1.65,10000.0,613496.0,1.0,2021-09-01 14:55:29
TVPP,24hs,,,,,,2.09,,,,
TVPP,48hs,1.63,,1.63,1.63,1.63,1.63,14450.0,886490.0,10.0,2021-09-01 14:38:31
TVPY,spot,,,,,,127.0,,,,
TVPY,24hs,,,,,,75.0,,,,
TVPY,48hs,,,,,,127.5,,,,
TVY0,spot,,,,,,135.0,,,,
TVY0,24hs,,,,,,167.0,,,,
TVY0,48hs,,,,,,135.0,,,,
TX22,spot,167.65,0.38,168.0,168.0,167.15,167.0,155044587.0,92428939.0,30.0,2021-09-01 15:51:55
TX22,24hs,,,,,,167.65,,,,
TX22,48hs,167.55,-0.05,169.3,169.3,167.5,167.65,336777970.0,200857689.0,125.0,2021-09-01 17:00:07
TX23,spot,160.95,-0.21,160.95,160.95,160.95,161.3,80475.0,50000.0,1.0,2021-09-01 13:13:03
TX23,24hs,,,,,,161.25,,,,
TX23,48hs,161.5,,161.5,162.0,160.1,161.5,57103981.0,35360193.0,38.0,2021-09-01 16:51:23
TX23C,spot,,,,,,0.92,,,,
TX23C,24hs,,,,,,0.93,,,,
TX23C,48hs,,,,,,0.88,,,,
TX23D,spot,0.93,2.19,0.93,0.93,0.93,0.91,24059.0,2586941.0,1.0,2021-09-01 14:02:08
TX23D,24hs,,,,,,0.93,,,,
TX23D,48hs,,,,,,0.89,,,,
TX24,spot,152.0,,154.5,154.5,152.0,152.0,2142062.0,1409205.0,15.0,2021-09-01 15:50:38
TX24,24hs,,,,,,153.25,,,,
TX24,48hs,152.5,-0.26,154.0,154.6,152.0,152.9,46178667.0,30286411.0,62.0,2021-09-01 17:00:22
TX26,spot,124.2,-0.63,124.0,125.0,123.0,125.0,925217.0,746686.0,21.0,2021-09-01 15:41:52
TX26,24hs,,,,,,124.5,,,,
TX26,48hs,124.35,-0.16,125.0,125.0,123.1,124.55,45279059.0,36415650.0,80.0,2021-09-01 17:00:20
TX28,spot,118.0,-1.0,118.0,118.8,118.0,119.2,33270.0,28181.0,9.0,2021-09-01 15:10:54
TX28,24hs,,,,,,99.596,,,,
TX28,48hs,118.0,-0.92,119.1,120.0,117.75,119.1,473771.0,399993.0,50.0,2021-09-01 16:56:25
